comparison,treatment_arm,control_arm,group,metric,eligible_examples,treatment,control,delta_treatment_minus_control,treatment_only_true,control_only_true,paired_ties,ci_low,ci_high,cluster_sign_flip_p
dpo_minus_continued_sft,dpo,continued_sft,overall,exact_failed_call_replay_rate_on_strict_pairs,48,0.0,0.10416666666666667,-0.10416666666666667,0,5,43,-0.2631578947368421,0.0,1.0
dpo_minus_continued_sft,dpo,continued_sft,outcome_success,json_valid,902,0.9855875831485588,0.9900221729490022,-0.0044345898004434225,9,13,880,-0.016537619530979368,0.007359729795876513,0.6006399360063993
dpo_minus_continued_sft,dpo,continued_sft,outcome_success,tool_name_correct,902,0.5421286031042128,0.45787139689578715,0.0842572062084257,125,49,728,0.0469963121761143,0.12351791923343083,0.0018998100189981002
dpo_minus_continued_sft,dpo,continued_sft,outcome_success,arguments_exact,902,0.25277161862527714,0.2583148558758315,-0.005543237250554334,47,52,803,-0.037623902089174106,0.02941337015155405,0.8027197280271973
dpo_minus_continued_sft,dpo,continued_sft,outcome_success,full_call_exact,902,0.25055432372505543,0.25055432372505543,0.0,45,45,812,-0.03152345600075779,0.03247615533665713,1.0
dpo_minus_continued_sft,dpo,continued_sft,outcome_success,exact_failed_call_replay_rate_on_strict_pairs,48,0.0,0.10416666666666667,-0.10416666666666667,0,5,43,-0.2631578947368421,0.0,1.0
dpo_minus_continued_sft,dpo,continued_sft,failed_gold,json_valid,57,0.9122807017543859,0.9649122807017544,-0.052631578947368474,1,4,52,-0.16673728813559316,0.02500791139240495,0.49925007499250074
dpo_minus_continued_sft,dpo,continued_sft,failed_gold,tool_name_correct,57,0.3157894736842105,0.6666666666666666,-0.3508771929824561,1,21,35,-0.5531914893617021,-0.20269465894465907,0.004199580041995801
dpo_minus_continued_sft,dpo,continued_sft,failed_gold,arguments_exact,57,0.22807017543859648,0.6666666666666666,-0.43859649122807015,0,25,32,-0.6590909090909091,-0.2948717948717949,0.0010998900109989002
dpo_minus_continued_sft,dpo,continued_sft,failed_gold,failed_action_imitation_rate,57,0.21052631578947367,0.6491228070175439,-0.4385964912280702,0,25,32,-0.6666666666666666,-0.2916666666666667,0.0007999200079992001
dpo_minus_continued_sft,dpo,continued_sft,non_recovery_success,json_valid,852,0.9847417840375586,0.9894366197183099,-0.0046948356807512415,9,13,830,-0.01761006289308176,0.007500117260787991,0.6000399960003999
dpo_minus_continued_sft,dpo,continued_sft,non_recovery_success,tool_name_correct,852,0.5352112676056338,0.44366197183098594,0.09154929577464782,123,45,684,0.05245017281728402,0.13314137317420466,0.0011998800119988001
dpo_minus_continued_sft,dpo,continued_sft,non_recovery_success,arguments_exact,852,0.23708920187793428,0.23708920187793428,0.0,46,46,760,-0.033069171282885265,0.03579210378860589,1.0
dpo_minus_continued_sft,dpo,continued_sft,non_recovery_success,full_call_exact,852,0.2347417840375587,0.2312206572769953,0.0035211267605633756,44,41,767,-0.029787586304072144,0.038348924099438166,0.8977102289771023
dpo_minus_continued_sft,dpo,continued_sft,recovery_success,json_valid,50,1.0,1.0,0.0,0,0,50,0.0,0.0,1.0
dpo_minus_continued_sft,dpo,continued_sft,recovery_success,tool_name_correct,50,0.66,0.7,-0.039999999999999925,2,4,44,-0.09803921568627451,0.043478260869565216,0.6260373962603739
dpo_minus_continued_sft,dpo,continued_sft,recovery_success,arguments_exact,50,0.52,0.62,-0.09999999999999998,1,6,43,-0.16666666666666666,0.0,0.18798120187981202
dpo_minus_continued_sft,dpo,continued_sft,recovery_success,full_call_exact,50,0.52,0.58,-0.05999999999999994,1,4,45,-0.12698412698412698,0.02702702702702703,0.37836216378362164
dpo_minus_continued_sft,dpo,continued_sft,recovery_success,exact_failed_call_replay_rate_on_strict_pairs,48,0.0,0.10416666666666667,-0.10416666666666667,0,5,43,-0.2631578947368421,0.0,1.0
dpo_minus_continued_sft,dpo,continued_sft,agent_initiated,json_valid,12,1.0,1.0,0.0,0,0,12,0.0,0.0,1.0
dpo_minus_continued_sft,dpo,continued_sft,agent_initiated,tool_name_correct,12,0.16666666666666666,0.4166666666666667,-0.25,0,3,9,-0.5,0.0,0.501949805019498
dpo_minus_continued_sft,dpo,continued_sft,agent_initiated,arguments_exact,12,0.08333333333333333,0.25,-0.16666666666666669,0,2,10,-0.3333333333333333,0.0,0.5045495450454954
dpo_minus_continued_sft,dpo,continued_sft,agent_initiated,full_call_exact,12,0.08333333333333333,0.16666666666666666,-0.08333333333333333,0,1,11,-0.2727272727272727,0.0,1.0
dpo_minus_continued_sft,dpo,continued_sft,agent_initiated,exact_failed_call_replay_rate_on_strict_pairs,12,0.0,0.25,-0.25,0,3,9,-0.6428571428571429,0.0,1.0
dpo_minus_continued_sft,dpo,continued_sft,user_assisted,json_valid,38,1.0,1.0,0.0,0,0,38,0.0,0.0,1.0
dpo_minus_continued_sft,dpo,continued_sft,user_assisted,tool_name_correct,38,0.8157894736842105,0.7894736842105263,0.02631578947368418,2,1,35,-0.06451612903225806,0.1111111111111111,1.0
dpo_minus_continued_sft,dpo,continued_sft,user_assisted,arguments_exact,38,0.6578947368421053,0.7368421052631579,-0.07894736842105254,1,4,33,-0.1794871794871795,0.05,0.4978502149785021
dpo_minus_continued_sft,dpo,continued_sft,user_assisted,full_call_exact,38,0.6578947368421053,0.7105263157894737,-0.05263157894736836,1,3,34,-0.1388888888888889,0.058823529411764705,0.6182381761823817
dpo_minus_continued_sft,dpo,continued_sft,user_assisted,exact_failed_call_replay_rate_on_strict_pairs,36,0.0,0.05555555555555555,-0.05555555555555555,0,2,34,-0.14285714285714285,0.0,1.0
